Date,Category,Amount,Currency,Status,
28 Feb 2025,Grocery,"50.00",USD,SETTLED, 
15 Feb 2025,Health Insurance,115.00,USD,SETTLED
04 Feb 2025,Grocery,110.69,USD,SETTLED
23 Feb 2025,Internet,"90.00",USD,SETTLED
05 Oct 2024,Health Insurance,115.00,USD,SETTLED
14 Jan 2025,UBER,10.97,USD,SETTLED
22 Nov 2024,Card Payment,"41.27",USD,SETTLED
08 Dec 2024,Card Payment,"284.77",USD,SETTLED
16 Dec 2024,Coffee Shop,15.37,USD,SETTLED
28 Jan 2025,AMAZON,85.95,USD,SETTLED
18 Oct 2024,Card Payment,"288.46",USD,SETTLED
16 Nov 2024,Grocery,131.56,USD,SETTLED
25 Oct 2024,Internet,"90.00",USD,SETTLED
15 Mar 2025,NETFLIX.COM,57.55,USD,SETTLED
25 Mar 2025,Uber,9.55,USD,SETTLED
18 Feb 2025,Card Payment,"32.98",USD,SETTLED
23 Mar 2025,AMAZON,89.93,USD,SETTLED
04 Mar 2025,Coffee Shop,"9.50",USD,SETTLED
26 Oct 2024,Grocery,129.70,USD,SETTLED

